,text
0,"L’activité industrielle est marquée, en août 2023, par une diminution de 0,7% des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. Cette évolution est induite par le repli des prix des produits manufacturés (-1,4%). En revanche, les prix des produits des industries extractives se sont renchéris de +1,1% sur la période sous revue. "
1,"Au deuxième trimestre de l’année 2023, le Produit Intérieur Brut (PIB) réel, corrigé des variations saisonnières (CVS), s’est rehaussé de 0,1%, par rapport au trimestre précédent. Ce résultat est imputable à l’accroissement des valeurs ajoutées des secteurs primaire (+2,6%) et tertiaire (+0,7%). En revanche, le secteur secondaire s’est replié de 2,0% ainsi que les taxes nettes de subventions sur les produits (-1,9%)."
2,"Au deuxième trimestre de l’année 2023, le Produit Intérieur Brut (PIB) réel, corrigé des variations saisonnières (CVS), s’est rehaussé de 0,1%, par rapport au trimestre précédent. Ce résultat est imputable à l’accroissement des valeurs ajoutées des secteurs primaire (+2,6%) et tertiaire (+0,7%). En revanche, le secteur secondaire s’est replié de 2,0% ainsi que les taxes nettes de subventions sur les produits (-1,9%)."
3,"Les prix des matériaux de construction ont baissé de 0,5% en août 2023, comparativement au mois précédent. Ce repli provient, principalement, de la baisse des prix des matériaux de base (-0,6%), des matériaux de plomberie et sanitaire (-0,5%) ainsi que des matériaux pour le revêtement des mur et sol (-0,5%). En variation annuelle[1], les prix des matériaux de construction se sont repliés de 3,2%.   "
4,"Le chiffre d’affaires dans l’industrie a diminué de 2,0% au deuxième trimestre 2023, comparé à celui de la même période de 2022, sous l’effet du repli de celui des industries manufacturières (-7,5%) et environnementales (-1,0%). En revanche, les chiffres d’affaires de la production d’électricité de gaz et d’eau (+31,6%) ainsi que des industries extractives (+1,4%) se sont accrus sur la période sous revue."
5,"Au deuxième trimestre 2023, le chiffre d’affaires réalisé dans le secteur de la construction s’est amélioré de 22,6% relativement à celui du même trimestre de 2022. Cette évolution résulte principalement du relèvement des s d’affaires dans les sous-secteurs des activités spécialisées de construction (+39,0%) et du génie civil (+35,1%). De même, le chiffre d’affaires issu de la construction de bâtiments s’est rehaussé de 7,2% sur la période sous revue."
6,"Au mois de juillet 2023, les exportations du Sénégal sont ressorties à 274,1 milliards de FCFA contre 256,8 milliards de FCFA au mois précédent, soit une hausse de 6,8%. Quant aux importations, elles sont évaluées à 609,5 milliards de FCFA contre 606,4 milliards de FCFA au mois précédent, soit une augmentation de 0,5%."
7,"En juillet 2023, la production industrielle hors égrenage de coton s’est repliée de 2,7%  relativement à celle de la même période en 2022. Cette diminution est imputable à la contreperformance notée dans la production des industries extractives (-16,9%) et manufacturière (-0,1%), dans une moindre mesure. En revanche, la production d’électricité, de gaz et d’eau (+10,5%) ainsi que celle des industries environnementales (+14,7%) s’est améliorée sur la période sous revue. Sur les sept premiers mois de 2023, la production industrielle a baissé de 1,9%, par rapport à la période correspondante de 2022."
8,"Les prix à la consommation du mois d’août 2023 ont augmenté de 1,8%, comparés à ceux du mois précédent. Cette évolution résulte, particulièrement, de l’accroissement des prix des « produits alimentaires et boissons non alcoolisées » (+3,2%) et, dans une moindre mesure, du renchérissement des services de « restaurants et hôtels » (+0,4%), des « transports » (+0,2%), ainsi que des « biens et services divers » (+0,2%). Par rapport au mois d’août 2022, les prix à la consommation se sont accrus de 5,3%."
9,"L’activité industrielle est marquée, en juillet 2023, par une augmentation de 1,2% des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. Cette évolution est en relation, avec le relèvement des prix des produits manufacturés (+2,2%). Par ailleurs, une stabilité des prix des produits des industries environnementales, ainsi que de l'électricité, eau et gaz, est notée sur  la période sous revue."
10,"Les prix à la consommation du mois de mai 2023 ont augmenté légèrement de 0,1%, comparés à ceux du mois précédent. Cette évolution résulte, principalement, de la hausse des prix des « biens et services divers » (+1,4%), des services de « communication » (+0,5%),"
11,"Le présent Bulletin résume les statistiques économiques et financières du mois de mars 2023 réparties en quatre grandes parties, à savoir le secteur primaire, le secteur secondaire, le secteur tertiaire et les autres statistiques."
12,"En mars 2023, la production totale d’électricité[1] s’est bonifiée de 26,5% en rythme mensuel. Cette situation est liée à une hausse de la demande"
13,"L’activité industrielle est marquée, en avril 2023, par une augmentation de 0,6% des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. En variation annuelle, les prix de la production industrielle hors égrenage de coton ont bondi de 1,0% en avril 2023, sous l’effet de l’appréciation des prix des produits extractifs (+4,4%) et de l’électricité, gaz et eau (+7,7%)."
