,text
0,"Au mois de novembre 2023, les prix des produits à l’importation ont baissé de 1,4%, comparés au mois précédent. Par rapport au mois de novembre 2022, les prix des produits achetés à l’extérieur ont augmenté de 2,6%. Sur les onze premiers mois de 2023, les produits importés se sont renchéris de 4,3%, en comparaison à ceux de la même période de 2022."
1,"Au mois de novembre 2023, les exportations du Sénégal sont ressorties à 227,9 milliards de FCFA contre 237,0 milliards de FCFA au mois précédent, soit une baisse de 3,8%. Les importations du mois de novembre 2023 sont évaluées à 680,3 milliards de FCFA contre 599,6 milliards de FCFA le mois précédent, soit un accroissement de 13,5%. "
2,"En novembre 2023, la production industrielle hors égrenage de coton a légèrement fléchi de 0,5% relativement à celle de la même période en 2022. Cette évolution résulte essentiellement du repli de la production des industries manufacturières (-3,9%) et des industries environnementales (-0,4%). Toutefois, l’augmentation de la production  d’électricité, de gaz et d’eau (+17,2%), ainsi que celle des industries extractives (+0,9%) ont amoindri cette baisse."
3, 
4,"Le présent Bulletin[1] résume les statistiques économiques et financières du mois d’octobre 2023 réparties en quatre grandes parties, à savoir le secteur primaire, le secteur secondaire, le secteur tertiaire et les autres statistiques."
5,"La production totale d’électricité[1] de la SENELEC, en octobre 2023, a augmenté de 12,1% (664,0 GWH[2] après 592,5 GWH) par rapport au mois de septembre 2023. Cette dynamique est portée par l’accroissement  des achats auprès des autres producteurs (+14,6%) ainsi que de sa propre production (+4,7%) sur la période."
6,"La croissance économique du Sénégal s’est ralentie en 2022 dans un contexte caractérisé par de fortes pressions inflationnistes. Cette décélération de l’activité économique est imputable à celle de la valeur ajoutée du secteur primaire. En particulier le sous-secteur agricole s’est contracté de 0,9% en 2022 en volume. En outre, ce ralentissement de l’activité économique s’est réalisé dans un contexte marqué par des tensions géopolitiques au niveau international et par une augmentation soutenue des prix. En effet, le niveau général des prix1 a augmenté de 8,7% en 2022."
7,"L’activité industrielle est marquée, en novembre 2023, par une augmentation de 0,4% des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. Cette situation est induite par le renchérissement des prix des produits des industries extractives (+1,5%). Toutefois, les prix des produits manufacturés, des industries environnementales, ainsi que de l'électricité, eau et gaz n’ont pas connu de variation. "
8,"Les exportations du Sénégal sont ressorties à 3 563,4 milliards de FCFA en 2022 contre 2 884,8 milliards de FCFA en 2021, soit une hausse de 23,5%. Les importations du Sénégal ont bondi de 40,4% en 2022 pour atteindre 7 549,4 milliards de FCFA contre 5 378,5 milliards de FCFA en 2021."
9,"Au mois d’août 2023, les exportations du Sénégal se sont établies à 246,5 milliards de FCFA contre 274,1 milliards de FCFA au mois précédent, soit un repli de 10,1%.Les importations du mois d’août 2023 sont évaluées à 679,2 milliards de FCFA contre 609,5 milliards de FCFA au mois précédent, soit une augmentation de 11,4%."
10,"Au mois de juillet 2023, les prix des produits à l’importation se sont relevés de 0,5%, comparés au mois précédent."
11,"Les prix à la consommation du mois de septembre 2023 ont diminué de 0,3%, comparés à ceux du mois précédent. Cette évolution résulte, principalement, du repli des prix des « produits alimentaires et boissons non alcoolisées » (-0,7%), des « boissons alcoolisées, tabac et stupéfiants » (-0,3%) et des services de « restaurants et hôtels » (-0,3%). Toutefois, le renchérissement des services de « communication » (+1,2%), des « articles d'habillement et chaussures » (+0,3%), ainsi que des « biens et services divers » (+0,2%) ont amoindri cette tendance baissière. Par rapport au mois de septembre 2022, les prix à la consommation se sont accrus de 3,8%."
12,"Le nombre d’employés dans le secteur moderne, hors administration publique, s’est accru de 1,4% au deuxième trimestre 2023, comparativement à celui de la période correspondante de l’année précédente. le nombre d’employés salariés dans le secteur moderne hors administration publique est évalué à 340 641 contre 336 037 un an plus tôt, soit une progression de 1,4%"
13,"L’activité industrielle est marquée, en août 2023, par une diminution de 0,7% des prix de la production industrielle hors égrenage de coton, comparativement à ceux du mois précédent. Cette évolution est induite par le repli des prix des produits manufacturés (-1,4%). En revanche, les prix des produits des industries extractives se sont renchéris de +1,1% sur la période sous revue. "
14,"Au deuxième trimestre de l’année 2023, le Produit Intérieur Brut (PIB) réel, corrigé des variations saisonnières (CVS), s’est rehaussé de 0,1%, par rapport au trimestre précédent. Ce résultat est imputable à l’accroissement des valeurs ajoutées des secteurs primaire (+2,6%) et tertiaire (+0,7%). En revanche, le secteur secondaire s’est replié de 2,0% ainsi que les taxes nettes de subventions sur les produits (-1,9%)."
15,"Au deuxième trimestre de l’année 2023, le Produit Intérieur Brut (PIB) réel, corrigé des variations saisonnières (CVS), s’est rehaussé de 0,1%, par rapport au trimestre précédent. Ce résultat est imputable à l’accroissement des valeurs ajoutées des secteurs primaire (+2,6%) et tertiaire (+0,7%). En revanche, le secteur secondaire s’est replié de 2,0% ainsi que les taxes nettes de subventions sur les produits (-1,9%)."
16,"Les prix des matériaux de construction ont baissé de 0,5% en août 2023, comparativement au mois précédent. Ce repli provient, principalement, de la baisse des prix des matériaux de base (-0,6%), des matériaux de plomberie et sanitaire (-0,5%) ainsi que des matériaux pour le revêtement des mur et sol (-0,5%). En variation annuelle[1], les prix des matériaux de construction se sont repliés de 3,2%.   "
17,"Le chiffre d’affaires dans l’industrie a diminué de 2,0% au deuxième trimestre 2023, comparé à celui de la même période de 2022, sous l’effet du repli de celui des industries manufacturières (-7,5%) et environnementales (-1,0%). En revanche, les chiffres d’affaires de la production d’électricité de gaz et d’eau (+31,6%) ainsi que des industries extractives (+1,4%) se sont accrus sur la période sous revue."
